Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-17 09:46:17,2018-04-17 09:48:31,2m - 13.656s,FAILED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-17 09:46:17,2018-04-17 09:47:03,45.689s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:46:17,2018-04-17 09:46:21,3.936s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:46:21,2018-04-17 09:46:23,1.848s,PASSED
click,Firefox 59.0,,2018-04-17 09:46:23,2018-04-17 09:46:24,0.831s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:46:24,2018-04-17 09:46:26,1.821s,PASSED
click,Firefox 59.0,,2018-04-17 09:46:26,2018-04-17 09:46:28,2.233s,PASSED
click,Firefox 59.0,,2018-04-17 09:46:28,2018-04-17 09:46:30,2.038s,PASSED
click,Firefox 59.0,,2018-04-17 09:46:30,2018-04-17 09:47:03,32.719s,FAILED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-17 09:47:03,2018-04-17 09:47:47,44.629s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:47:03,2018-04-17 09:47:06,2.795s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:47:06,2018-04-17 09:47:08,1.904s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:08,2018-04-17 09:47:09,1.031s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:47:09,2018-04-17 09:47:11,1.880s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:11,2018-04-17 09:47:13,2.406s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:13,2018-04-17 09:47:15,2.113s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:15,2018-04-17 09:47:47,32.404s,FAILED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-17 09:47:47,2018-04-17 09:48:30,42.833s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:47:48,2018-04-17 09:47:50,2.734s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:47:50,2018-04-17 09:47:52,1.846s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:52,2018-04-17 09:47:53,0.936s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:47:53,2018-04-17 09:47:55,1.919s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:55,2018-04-17 09:47:57,1.581s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:57,2018-04-17 09:47:58,1.318s,PASSED
click,Firefox 59.0,,2018-04-17 09:47:58,2018-04-17 09:48:30,32.397s,FAILED
